timestamp,camera_id,person_id,in_zone,conf
2026-02-12T05:48:37.354027,iphone-01,0,1,0.47
2026-02-12T05:48:37.509877,iphone-01,0,1,0.81
2026-02-12T05:48:37.576636,iphone-01,0,1,0.86
2026-02-12T05:48:37.605981,iphone-01,0,1,0.84
2026-02-12T05:48:37.654864,iphone-01,0,1,0.84
2026-02-12T05:48:37.682471,iphone-01,0,1,0.86
2026-02-12T05:48:37.740113,iphone-01,0,1,0.88
2026-02-12T05:48:37.776022,iphone-01,0,1,0.89
2026-02-12T05:48:37.804765,iphone-01,0,1,0.80
2026-02-12T05:48:37.827944,iphone-01,0,1,0.87
2026-02-12T05:48:37.882750,iphone-01,0,1,0.86
2026-02-12T05:48:37.914435,iphone-01,0,1,0.89
2026-02-12T05:48:37.974069,iphone-01,0,1,0.85
2026-02-12T05:48:38.008556,iphone-01,0,1,0.81
2026-02-12T05:48:38.037421,iphone-01,0,1,0.87
2026-02-12T05:48:38.060136,iphone-01,0,1,0.87
2026-02-12T05:48:38.108799,iphone-01,0,1,0.84
2026-02-12T05:48:38.141613,iphone-01,0,1,0.83
2026-02-12T05:48:38.165646,iphone-01,0,1,0.82
2026-02-12T05:48:38.189706,iphone-01,0,1,0.69
2026-02-12T05:48:38.219005,iphone-01,0,1,0.82
2026-02-12T05:48:38.244051,iphone-01,0,1,0.76
2026-02-12T05:48:38.295071,iphone-01,0,1,0.70
2026-02-12T05:48:38.320242,iphone-01,0,1,0.84
2026-02-12T05:48:38.384930,iphone-01,0,1,0.79
2026-02-12T05:48:38.432731,iphone-01,0,1,0.80
2026-02-12T05:48:38.461644,iphone-01,0,1,0.79
2026-02-12T05:48:38.485704,iphone-01,0,1,0.84
2026-02-12T05:48:38.510156,iphone-01,0,1,0.86
2026-02-12T05:48:47.141618,iphone-01,0,1,0.79
2026-02-12T05:48:47.308291,iphone-01,0,1,0.68
2026-02-12T05:48:47.379872,iphone-01,0,1,0.69
2026-02-12T05:48:47.610598,iphone-01,0,1,0.79
2026-02-12T05:48:47.641464,iphone-01,0,1,0.76
2026-02-12T05:48:47.702137,iphone-01,0,1,0.87
2026-02-12T05:48:47.766416,iphone-01,0,1,0.85
2026-02-12T05:48:47.841348,iphone-01,0,1,0.84
2026-02-12T05:48:47.901633,iphone-01,0,1,0.86
2026-02-12T05:48:47.929828,iphone-01,0,1,0.81
2026-02-12T05:48:47.961756,iphone-01,0,1,0.78
2026-02-12T05:48:48.019887,iphone-01,0,1,0.83
2026-02-12T05:48:48.046304,iphone-01,0,1,0.84
2026-02-12T05:48:48.093548,iphone-01,0,1,0.90
2026-02-12T05:48:48.162763,iphone-01,0,1,0.78
2026-02-12T05:48:48.185843,iphone-01,0,1,0.65
2026-02-12T05:48:48.235173,iphone-01,0,1,0.70
2026-02-12T05:48:48.282699,iphone-01,0,1,0.78
2026-02-12T05:48:48.305493,iphone-01,0,1,0.79
2026-02-12T05:48:48.357620,iphone-01,0,1,0.83
2026-02-12T05:48:48.385177,iphone-01,0,1,0.85
2026-02-12T05:48:48.426102,iphone-01,0,1,0.85
2026-02-12T05:48:48.476262,iphone-01,0,1,0.87
2026-02-12T05:48:48.544480,iphone-01,0,1,0.89
2026-02-12T05:48:48.575559,iphone-01,0,1,0.91
2026-02-12T05:48:48.602970,iphone-01,0,1,0.91
2026-02-12T05:48:48.623822,iphone-01,0,1,0.90
2026-02-12T05:48:48.646368,iphone-01,0,1,0.90
2026-02-12T05:48:48.667741,iphone-01,0,1,0.90
2026-02-12T05:48:48.691031,iphone-01,0,1,0.92
2026-02-12T05:48:48.712553,iphone-01,0,1,0.91
2026-02-12T05:48:48.733598,iphone-01,0,1,0.91
2026-02-12T05:48:48.758632,iphone-01,0,1,0.91
2026-02-12T05:48:48.796159,iphone-01,0,1,0.90
2026-02-12T05:48:48.829309,iphone-01,0,1,0.91
2026-02-12T05:48:48.861463,iphone-01,0,1,0.90
2026-02-12T05:48:48.907487,iphone-01,0,1,0.91
2026-02-12T05:48:48.931959,iphone-01,0,1,0.90
2026-02-12T05:48:48.957783,iphone-01,0,1,0.90
2026-02-12T05:48:49.002771,iphone-01,0,1,0.88
2026-02-12T05:48:49.034495,iphone-01,0,1,0.88
2026-02-12T05:48:49.064198,iphone-01,0,1,0.90
2026-02-12T05:48:49.110812,iphone-01,0,1,0.89
2026-02-12T05:48:49.139089,iphone-01,0,1,0.90
2026-02-12T05:48:49.163398,iphone-01,0,1,0.89
2026-02-12T05:48:49.195245,iphone-01,0,1,0.88
2026-02-12T05:48:49.230429,iphone-01,0,1,0.87
2026-02-12T05:48:49.260329,iphone-01,0,1,0.88
2026-02-12T05:48:49.294504,iphone-01,0,1,0.85
2026-02-12T05:48:49.328246,iphone-01,0,1,0.83
2026-02-12T05:48:49.367843,iphone-01,0,1,0.61
2026-02-12T05:48:49.426871,iphone-01,0,1,0.51
2026-02-12T05:48:56.238042,iphone-01,0,1,0.43
2026-02-12T05:48:56.260201,iphone-01,0,1,0.53
2026-02-12T05:48:56.282828,iphone-01,0,1,0.59
2026-02-12T05:48:56.318095,iphone-01,0,1,0.80
2026-02-12T05:48:56.352383,iphone-01,0,1,0.67
2026-02-12T05:48:56.383023,iphone-01,0,1,0.71
2026-02-12T05:48:56.425402,iphone-01,0,1,0.81
2026-02-12T05:48:56.451764,iphone-01,0,1,0.68
2026-02-12T05:48:56.585131,iphone-01,0,1,0.45
2026-02-12T05:48:56.715881,iphone-01,0,1,0.87
2026-02-12T05:48:56.752578,iphone-01,0,1,0.86
2026-02-12T05:48:56.793743,iphone-01,0,1,0.82
2026-02-12T05:48:56.818678,iphone-01,0,1,0.57
2026-02-12T05:49:03.019248,iphone-01,0,1,0.56
2026-02-12T05:49:03.047275,iphone-01,0,1,0.71
2026-02-12T05:49:03.096749,iphone-01,0,1,0.83
2026-02-12T05:49:03.124348,iphone-01,0,1,0.84
2026-02-12T05:49:03.158641,iphone-01,0,1,0.85
2026-02-12T05:49:03.194097,iphone-01,0,1,0.65
2026-02-12T05:49:03.227380,iphone-01,0,1,0.41
2026-02-12T05:49:03.262125,iphone-01,0,1,0.85
2026-02-12T05:49:03.304277,iphone-01,0,1,0.74
2026-02-12T05:49:03.359302,iphone-01,0,1,0.64
2026-02-12T05:49:03.422433,iphone-01,0,1,0.87
2026-02-12T05:49:03.476317,iphone-01,0,1,0.90
2026-02-12T05:49:03.524900,iphone-01,0,1,0.90
2026-02-12T05:49:03.566828,iphone-01,0,1,0.78
2026-02-12T05:49:03.689911,iphone-01,0,1,0.49
2026-02-12T05:49:10.460504,iphone-01,0,1,0.61
